Point_Count,System_Time_Unix
20064,1765435806.593170000
20064,1765435807.459770000
19968,1765435807.480650000
20064,1765435807.490530000
19968,1765435807.501690000
20064,1765435808.211210000
19968,1765435808.221330000
19872,1765435808.232530000
20064,1765435808.845390000
19968,1765435809.224140000
19968,1765435809.242450000
19968,1765435809.252140000
20064,1765435809.261890000
19968,1765435810.186020000
19968,1765435810.259900000
19968,1765435810.285910000
19584,1765435810.298460000
20064,1765435810.309030000
20064,1765435810.319770000
19968,1765435810.667380000
19968,1765435810.793020000
19968,1765435811.349190000
20064,1765435811.360520000
19968,1765435811.840320000
19968,1765435812.196290000
20064,1765435812.205690000
19968,1765435812.717190000
19968,1765435812.740120000
20064,1765435812.750870000
20064,1765435812.760570000
19968,1765435813.462760000
20832,1765435813.474500000
20064,1765435813.487230000
19968,1765435814.214630000
20064,1765435814.225340000
20064,1765435814.250250000
19680,1765435814.894610000
20064,1765435815.245410000
19968,1765435815.329410000
20064,1765435815.347940000
19968,1765435815.357650000
19968,1765435815.367360000
19872,1765435815.538070000
19968,1765435815.673430000
20064,1765435815.948800000
19968,1765435816.075100000
20064,1765435816.183770000
20064,1765435816.351840000
19968,1765435816.497800000
20064,1765435816.688180000
19968,1765435817.313160000
20064,1765435817.321370000
20064,1765435817.332040000
19968,1765435818.032720000
19872,1765435818.404460000
19968,1765435818.477970000
20064,1765435818.486250000
19872,1765435818.796800000
20064,1765435818.808160000
19872,1765435819.479500000
19872,1765435819.490240000
19968,1765435819.501430000
19872,1765435819.521280000
19104,1765435819.539210000
21024,1765435819.785680000
19968,1765435820.535060000
19872,1765435820.610000000
20064,1765435820.623750000
19968,1765435820.998210000
19968,1765435821.187700000
20064,1765435821.203480000
20064,1765435821.223180000
19968,1765435822.410620000
20064,1765435822.421220000
19968,1765435822.561040000
19968,1765435822.580340000
19968,1765435822.593090000
19968,1765435822.607760000
20064,1765435822.782430000
19968,1765435822.911440000
20832,1765435823.034090000
20064,1765435823.276290000
19968,1765435823.416580000
20064,1765435823.864900000
19968,1765435823.875160000
19968,1765435824.067930000
19968,1765435824.445080000
20064,1765435824.453210000
19968,1765435824.549450000
20064,1765435824.674480000
19968,1765435824.792150000
19968,1765435825.007310000
19968,1765435825.147660000
20064,1765435825.355820000
20064,1765435825.488550000
19968,1765435825.908130000
19968,1765435825.916780000
20064,1765435826.050510000
19872,1765435826.726520000
20064,1765435827.543500000
19968,1765435827.565830000
19872,1765435827.576460000
19968,1765435827.587680000
19968,1765435827.599460000
19968,1765435827.618840000
19872,1765435827.781710000
20064,1765435828.207690000
19968,1765435828.475210000
19968,1765435828.806570000
19968,1765435829.046440000
20064,1765435829.055100000
20064,1765435829.066390000
19968,1765435829.183500000
20064,1765435829.291210000
19968,1765435829.591230000
19968,1765435829.738970000
20064,1765435829.947880000
19968,1765435830.078800000
20064,1765435830.281240000
19968,1765435830.399490000
19872,1765435830.539020000
19968,1765435831.435800000
20064,1765435831.458260000
19968,1765435831.469470000
20064,1765435831.479170000
19968,1765435831.498580000
20064,1765435831.712200000
19968,1765435831.925260000
19968,1765435832.072330000
19584,1765435832.267730000
19968,1765435832.411700000
19968,1765435832.548220000
20064,1765435833.064810000
19968,1765435833.104420000
19968,1765435833.116670000
20064,1765435833.262260000
20064,1765435834.167200000
19680,1765435834.183520000
20256,1765435834.202320000
19968,1765435834.213590000
20064,1765435834.224290000
20064,1765435834.379200000
19968,1765435834.581910000
20064,1765435834.704030000
20064,1765435834.930520000
20064,1765435835.053210000
19680,1765435835.485770000
20064,1765435835.497460000
19872,1765435835.627320000
20064,1765435835.763600000
19968,1765435835.956920000
19968,1765435836.501630000
19968,1765435836.580120000
19968,1765435836.590840000
20064,1765435836.903700000
19968,1765435836.913370000
19968,1765435837.246930000
19968,1765435837.264880000
19968,1765435837.359560000
20064,1765435837.487180000
19872,1765435837.785490000
20064,1765435837.904930000
19968,1765435838.040760000
19968,1765435838.259420000
19968,1765435838.847930000
19968,1765435838.859150000
20064,1765435839.245760000
19968,1765435839.261040000
19968,1765435840.035630000
19968,1765435840.059950000
19968,1765435840.071650000
19968,1765435840.451520000
20064,1765435840.465350000
19968,1765435840.821830000
20064,1765435840.834140000
19968,1765435840.851340000
19968,1765435840.937640000
19968,1765435841.148820000
20064,1765435841.296850000
19968,1765435841.418230000
20064,1765435841.651840000
20064,1765435841.781440000
20064,1765435841.985590000
19968,1765435842.113570000
19968,1765435842.243760000
20064,1765435842.384090000
19968,1765435842.606590000
20064,1765435842.754320000
20064,1765435842.889210000
19968,1765435843.097200000
19968,1765435843.233830000
20064,1765435843.461690000
19968,1765435843.933680000
20064,1765435843.952820000
19968,1765435843.963510000
19968,1765435844.139720000
19968,1765435844.263110000
19968,1765435844.461810000
19776,1765435845.055080000
20064,1765435845.068420000
19968,1765435845.078510000
20064,1765435845.254460000
19968,1765435845.373860000
19872,1765435845.795320000
20064,1765435845.815370000
19968,1765435845.912600000
19968,1765435846.045970000
19968,1765435846.504330000
20064,1765435846.515040000
20064,1765435846.649790000
19968,1765435846.886870000
19968,1765435847.295490000
20064,1765435847.305330000
19968,1765435847.390820000
20064,1765435847.628840000
19968,1765435847.788740000
19968,1765435848.267190000
19968,1765435848.607950000
20064,1765435848.693900000
19968,1765435848.716840000
19968,1765435849.102810000
19968,1765435849.323010000
19968,1765435849.332670000
19968,1765435849.342730000
19968,1765435849.437200000
19968,1765435849.632110000
19872,1765435850.054450000
19968,1765435850.074760000
19968,1765435850.168210000
20064,1765435850.291320000
19872,1765435850.498050000
19968,1765435850.636060000
20064,1765435850.760180000
19968,1765435850.874510000
19968,1765435851.086790000
20064,1765435851.206790000
19968,1765435851.417560000
20064,1765435851.618100000
19968,1765435851.849000000
20064,1765435851.966460000
20064,1765435852.186650000
19968,1765435852.622120000
19968,1765435852.631190000
19968,1765435852.748280000
19968,1765435853.420250000
19968,1765435853.447000000
19968,1765435853.459140000
20064,1765435853.471770000
19968,1765435853.642700000
19968,1765435853.764460000
20064,1765435853.914240000
20064,1765435854.161450000
19968,1765435854.268240000
20064,1765435854.388540000
19968,1765435854.518680000
19968,1765435854.650170000
19968,1765435854.866440000
19968,1765435855.165450000
20064,1765435855.302360000
19968,1765435855.534960000
19968,1765435855.718630000
20064,1765435855.842660000
19968,1765435856.046040000
20064,1765435856.201680000
19968,1765435856.322170000
20064,1765435856.525710000
19968,1765435856.649710000
19968,1765435856.845560000
20064,1765435856.961840000
19968,1765435857.178310000
19872,1765435857.320340000
20064,1765435857.458790000
20064,1765435857.660410000
20064,1765435857.830700000
19968,1765435858.594940000
19968,1765435858.607360000
20064,1765435858.618990000
19968,1765435858.630670000
19968,1765435858.862490000
19968,1765435859.323980000
19968,1765435859.679240000
20064,1765435859.692470000
19968,1765435859.704410000
19968,1765435859.886450000
19968,1765435860.043900000
19968,1765435860.845040000
20064,1765435860.856190000
19968,1765435861.028340000
19968,1765435861.041700000
20064,1765435861.132770000
20064,1765435861.258690000
20064,1765435861.504910000
