Point_Count,System_Time_Unix
19968,1765435789.272950000
19968,1765435789.279660000
20064,1765435789.563270000
20064,1765435789.742330000
19776,1765435789.949540000
19968,1765435790.594640000
20064,1765435790.600470000
19968,1765435790.606040000
19968,1765435790.622290000
20064,1765435790.795950000
19968,1765435790.939250000
19968,1765435791.233370000
20160,1765435791.359660000
19968,1765435791.577230000
19968,1765435791.697390000
19968,1765435791.895650000
19968,1765435792.302150000
19968,1765435792.306370000
20064,1765435792.434710000
20064,1765435792.633680000
19968,1765435792.812360000
19968,1765435792.930610000
20064,1765435793.138200000
19968,1765435793.259560000
19968,1765435793.700020000
20064,1765435793.705580000
19968,1765435793.839010000
20064,1765435794.334400000
20064,1765435794.343520000
19968,1765435794.455920000
19968,1765435794.784920000
19968,1765435794.807620000
19968,1765435794.907240000
20064,1765435795.652890000
19968,1765435795.658460000
19968,1765435795.663980000
20064,1765435795.668910000
19968,1765435796.321410000
19968,1765435796.329050000
19968,1765435796.342280000
19968,1765435796.584910000
20064,1765435796.727660000
20064,1765435797.448220000
19968,1765435797.454110000
19968,1765435797.613650000
20064,1765435797.618890000
19968,1765435797.623250000
19872,1765435797.748810000
20064,1765435797.866780000
19968,1765435798.091460000
20064,1765435798.212650000
19968,1765435799.309780000
20064,1765435799.315340000
19968,1765435799.321390000
19968,1765435799.781510000
19968,1765435799.787140000
19872,1765435799.792600000
20064,1765435799.800860000
19968,1765435799.814000000
19968,1765435800.120760000
19968,1765435801.641660000
19968,1765435801.659090000
20064,1765435801.664140000
19968,1765435801.669710000
20064,1765435801.675230000
19968,1765435801.750120000
19872,1765435801.970590000
20064,1765435802.396310000
20064,1765435802.401370000
19968,1765435802.404920000
19968,1765435804.009420000
20064,1765435804.027310000
19968,1765435804.032390000
20064,1765435804.037430000
19968,1765435804.042510000
20064,1765435804.050090000
20064,1765435804.064890000
19968,1765435805.089030000
20064,1765435805.094650000
19968,1765435805.099220000
20064,1765435805.116920000
20064,1765435805.123690000
19968,1765435805.129260000
20064,1765435805.397390000
19968,1765435805.526510000
19968,1765435806.529180000
20064,1765435806.534870000
19968,1765435806.552660000
19968,1765435806.557710000
20064,1765435806.562730000
20064,1765435807.446880000
19968,1765435807.452500000
20064,1765435807.459770000
19968,1765435807.476560000
20064,1765435808.182770000
19968,1765435808.202580000
19872,1765435808.213750000
20064,1765435808.836680000
