Frame 194: Points: 20064 | Time: 1763886758312140964 ns
Frame 195: Points: 19968 | Time: 1763886758512065022 ns
Frame 196: Points: 20064 | Time: 1763886758612146402 ns
Frame 197: Points: 19584 | Time: 1763886758712089598 ns
Frame 198: Points: 19968 | Time: 1763886758912136803 ns
Frame 199: Points: 19968 | Time: 1763886759012127055 ns
Frame 200: Points: 19968 | Time: 1763886759112082584 ns
Frame 201: Points: 19872 | Time: 1763886759311507238 ns
Frame 202: Points: 20160 | Time: 1763886759411431638 ns
Frame 203: Points: 20064 | Time: 1763886759612110654 ns
Frame 204: Points: 20064 | Time: 1763886759812080952 ns
Frame 205: Points: 19968 | Time: 1763886759912081648 ns
Frame 206: Points: 20160 | Time: 1763886760111985669 ns
Frame 207: Points: 19776 | Time: 1763886760212270141 ns
Frame 208: Points: 20064 | Time: 1763886760412222328 ns
Frame 209: Points: 19968 | Time: 1763886760612121479 ns
Frame 210: Points: 20064 | Time: 1763886760712178471 ns
Frame 211: Points: 20064 | Time: 1763886760812207907 ns
Frame 212: Points: 19968 | Time: 1763886761012144224 ns
Frame 213: Points: 20064 | Time: 1763886761112250641 ns
Frame 214: Points: 19968 | Time: 1763886761212944943 ns
Frame 215: Points: 20064 | Time: 1763886761412119803 ns
Frame 216: Points: 19968 | Time: 1763886761512233257 ns
Frame 217: Points: 20064 | Time: 1763886761612184823 ns
Frame 218: Points: 20064 | Time: 1763886761812195992 ns
Frame 219: Points: 19968 | Time: 1763886761912281632 ns
Frame 220: Points: 19968 | Time: 1763886762112169913 ns
Frame 221: Points: 20064 | Time: 1763886762212161756 ns
Frame 222: Points: 19968 | Time: 1763886762412242740 ns
Frame 223: Points: 20064 | Time: 1763886762512018344 ns
Frame 224: Points: 19968 | Time: 1763886762712030106 ns
Frame 225: Points: 20064 | Time: 1763886762811657378 ns
Frame 226: Points: 19104 | Time: 1763886763011968230 ns
Frame 227: Points: 20736 | Time: 1763886763109037818 ns
Frame 228: Points: 19968 | Time: 1763886763311922817 ns
Frame 229: Points: 20064 | Time: 1763886763411528553 ns
Frame 230: Points: 19776 | Time: 1763886763512265835 ns
Frame 231: Points: 20064 | Time: 1763886763712064191 ns
Frame 232: Points: 19968 | Time: 1763886763812209219 ns
Frame 233: Points: 19968 | Time: 1763886764112281713 ns
Frame 234: Points: 20064 | Time: 1763886764312039069 ns
Frame 235: Points: 20064 | Time: 1763886764412239652 ns
Frame 236: Points: 19872 | Time: 1763886764512236236 ns
Frame 237: Points: 20064 | Time: 1763886764612138692 ns
Frame 238: Points: 19776 | Time: 1763886764812279582 ns
Frame 239: Points: 19968 | Time: 1763886765012247492 ns
Frame 240: Points: 20064 | Time: 1763886765112176448 ns
Frame 241: Points: 19968 | Time: 1763886765212250309 ns
Frame 242: Points: 20064 | Time: 1763886765412326941 ns
Frame 243: Points: 19968 | Time: 1763886765512249619 ns
Frame 244: Points: 20448 | Time: 1763886765712948116 ns
Frame 245: Points: 19968 | Time: 1763886765912110328 ns
Frame 246: Points: 19968 | Time: 1763886766112264959 ns
Frame 247: Points: 19968 | Time: 1763886766212215192 ns
Frame 248: Points: 19968 | Time: 1763886766412278879 ns
Frame 249: Points: 19872 | Time: 1763886766512246687 ns
Frame 250: Points: 20064 | Time: 1763886766712158949 ns
Frame 251: Points: 19968 | Time: 1763886766812212329 ns
Frame 252: Points: 20064 | Time: 1763886766912098915 ns
Frame 253: Points: 19776 | Time: 1763886767012224387 ns
Frame 254: Points: 19968 | Time: 1763886767212271186 ns
Frame 255: Points: 19968 | Time: 1763886767412108764 ns
Frame 256: Points: 19968 | Time: 1763886767612773002 ns
Frame 257: Points: 19968 | Time: 1763886767712323886 ns
Frame 258: Points: 20064 | Time: 1763886767812135898 ns
Frame 259: Points: 19968 | Time: 1763886767912245426 ns
Frame 260: Points: 19968 | Time: 1763886768112185503 ns
Frame 261: Points: 20064 | Time: 1763886768212098922 ns
